UNIQUE_WELLBORE_IDENTIFIER,WATER_DEPTH
AO 15-KISSANJE-101,
AO 15-KISSANJE-101ST1,
AO 15-KISSANJE-102,
AO 15-KISSANJE-102ST1,
AO 15-KISSANJE-103,
AO 15-KISSANJE-103ST1,
AO 15-KISSANJE-103ST2,
AO 15-KISSANJE-104,
AO 15-KISSANJE-105,
AO 15-KISSANJE-106,
AO 15-KISSANJE-107,
AO 15-KISSANJE-107ST1,
AO 15-KISSANJE-107ST2,
AO 15-KISSANJE-108,
AO 15-KISSANJE-109,
AO 15-KISSANJE-110,
AO 15-KISSANJE-111ST1,
AO 15-KISSANJE-112,
AO 15-KISSANJE-114,
AO 15-KISSANJE-115,
AO 15-KISSANJE-116,
AO 15-KISSANJE-119,
AO 15-KISSANJE-119ST1,
AO 15-KISSANJE-122,
AO 15-KISSANJE-123ST1,
AO 15-KISSANJE-125ST1,
AO 15-KISSANJE-126,
AO 15-KISSANJE-2,3270.0
AO 15-KISSANJE-3 PRE,
AO 15-MARIMBA-1,2740.0
AO 15-MARIMBA-1ST1,2740.0
AO 15-MARIMBA-101,
AO 15-MARIMBA-102,
AO 15-MARIMBA-2,3615.0
AO 15-MAVACOLA-1,2723.0
AO 15-MAVACOLA-2,2928.0
AO 15-MAVACOLA-3A,2708.0
AO 15-MBULUMBUMBA-1,3770.0
AO 15-MONDO-1,2513.0
AO 15-MONDO-1ST1,2513.0
AO 15-MONDO-103,
AU Dongara 34 ST1,
AO 15-MONDO-113,
AO 15-MONDO-115,
AO 15-MONDO-2,2410.0
AO 15-MONDO-201,
AO 15-MONDO-201 A,
AO 15-MONDO-206,
AO 15-MONDO-208,
AO 15-MONDO-3,1550.0
AO 15-MONDO-3ST2,1550.0
AO 15-MONDO-3ST3,1550.0
AO 15-MONDO-304,
AO 15-MONDO-305,
AO 15-MONDO-307,
AO 15-MONDO-309,
AO 15-MONDO-310,
AO 15-MONDO-3A,2660.0
AO 15-MONDO-4,2860.0
AO 15-PUITA-1,2646.0
AO 15-RECO-RECO-1,3798.0
AO 15-RECO-RECO-2,2800.0
AO 15-SAXI-1,3495.0
AO 15-SAXI-103,
AO 15-SAXI-104,
AO 15-SAXI-105,
AO 15-SAXI-2,
AO 15-SAXI-201,
AO 15-SAXI-202,
AO 15-TCHIHUMBA-1,4171.0
AO 15-TCHIHUMBA-2,3178.0
AO 15-06-VANDUMBU-1,4107.0
AO 15-VICANGO-1,2100.0
AO 15-XIKOMBA-1,2876.0
AO 15-XIKOMBA-107,
AO 15-XIKOMBA-108,
AO 15-XIKOMBA-201,
AO 15-XIKOMBA-202,
AO 15-XIKOMBA-203,
AO 15-XIKOMBA-204,
AO 15-XIKOMBA-205,
AO 15-XIKOMBA-306,
AO 16-CHILUANGO-1,2402.0
AO 17-ACACIA-1,3632.0
AO 17-ACACIA-2,3701.0
AO 17-ACACIA-2G1,3701.0
AO 17-ACACIA-3B,
AO 17-ACACIA-3BG1,
AO 17-ACACIA-4,4070.0
AO 17-ACACIA-801ST2,1084.800048828125
AO 17-ACACIA-802,
AO 17-ACACIA-803ST2,1029.0
AO 17-ACACIA-804ST1,1043.0
AO 17-ACACIA-805,1008.0
AO 17-ACACIA-806,1009.2000122070312
AO 17-ACACIA-807,1055.5
AO 17-ACACIA-808ST1,1054.9000244140625
AO 17-ACACIA-809,1009.5999755859375
AO 17-ACACIA-810,1085.0
AO 17-ACACIA-811,1043.4000244140625
AO 17-ACACIA-812,1012.5
AO 17-ACACIA-812ST1,1012.5
AO 17-ACACIA-813,1008.0
AO 17-ACACIA-814,1007.0
AO 17-ACACIA-816,1056.1600341796875
AO 17-ANTURIO-1,2362.0
AO 17-CAMELIA-1,2780.0
AO 17-CRAVO-1,3170.0
AO 17-CRAVO-351,1315.0999755859375
AO 17-CRAVO-352,1355.0999755859375
AO 17-CRAVO-353BST1,1354.9000244140625
AO 17-CRAVO-355,1314.5999755859375
AO 17-DAL741-3P,
AO 17-DALIA-1,2740.0
AO 17-DALIA-2,3113.0
AO 17-DALIA-3,
AO 17-DALIA-3 G1,
AO 17-DALIA-4,
AO 17-DALIA-4ST1,
AO 17-DALIA-5,
AO 17-DALIA-5ST1,
AO 17-DALIA-701-1P,
AO 17-DALIA-702-2P,
AO 17-DALIA-703-1P,
AO 17-DALIA-704-1PST1,
AO 17-DALIA-705-1GI,
AO 17-DALIA-706-3P,
AO 17-DALIA-706-3P G1,
AO 17-DALIA-707-4P,
AO 17-DALIA-708-4P,
AO 17-DALIA-709-1WI,
AO 17-DALIA-710-4WI,
AO 17-DALIA-711-2WI,
AO 17-DALIA-712-1P,
AO 17-DALIA-713-4WI,
AO 17-DALIA-714-1P,
AO 17-DALIA-715-3P,
AO 17-DALIA-716-1WI,
AO 17-DALIA-717-2P,
AO 17-DALIA-717-2PST1,
AO 17-DALIA-718B-1GW,
AO 17-DALIA-719-3WI,
AO 17-DALIA-720-1P,
AO 17-DALIA-721-4P,
AO 17-DALIA-722-2WI,
AO 17-DALIA-723-2P,
AO 17-DALIA-724-2P,
AO 15-06-CABACA SE-2,3700.0
AO 15-06-CINGUVU-1,3050.0
AO 15-06-CINGUVU-2,3205.0
AO 15-06-LIRA-1,1550.0
AO 15-06-MPUNGI-1,2331.0
AO 15-06-MPUNGI-2,2240.23
AO 15-06-MUKUVO-1,3026.0
AO 15-06-NGOMA-1,2282.0
AO 15-06-OMOCOLA-1,4025.0
AO 15-06-SANGOS-1,3369.0
AO 15-BATUQUE-1,3790.0
AO 15-BATUQUE-103,
AO 15-BATUQUE-107,
AO 15-BATUQUE-108,
AO 15-BATUQUE-2,2497.0
AO 15-BATUQUE-202,
AO 15-BATUQUE-204,
AO 15-BATUQUE-205,
AO 15-BATUQUE-206,
AO 15-BATUQUE-3,4907.0
AO 15-BAVUCA-1,3235.0
AO 15-BAVUCA-101,1103.0
AO 15-BAVUCA-102,1103.0
AO 15-06-CABACA-1,1567.0
AO 15-CHOCALHO-1,2513.0
AO 15-CHOCALHO-104,
AO 15-CHOCALHO-106,
AO 15-CHOCALHO-108,
AO 15-CHOCALHO-110,
AO 15-CHOCALHO-125,
AO 15-CHOCALHO-132,
AO 15-CHOCALHO-138,
AO 15-CHOCALHO-139,
AO 15-CHOCALHO-2,2963.0
AO 15-CHOCALHO-215,
US 608114046801,4292.0
AO 31-PLUTAO-1AST1,3048.0
AO 31-PLUTAO-2,3981.0
AO 31-PLUTAO-2ST1,3981.0
AO 31-PLUTAO-A01,2014.6700439453125
AO 31-PLUTAO-A02,2013.699951171875
AO 31-PLUTAO-A03,2013.300048828125
AO 31-PLUTAO-A04,2013.0
AO 31-PLUTAO-B02,2017.0799560546875
AO 31-PLUTAO-C01,2031.0799560546875
AO 31-PORTIA-1,4920.0
AO 31-PORTIA-1ST1,4920.0
AO 31-PORTIA-1ST2,4920.0
AO 31-SATURNO-1,5108.0
AO 31-SATURNO-E01,1807.27001953125
AO 31-SATURNO-E02,1800.0
AO 31-SATURNO-F01,1824.5799560546875
AO 31-TEBE-1,3480.0
AO 31-TERRA-1,5355.0
AO 31-TERRA-1ST1,5355.0
