uwi,tvd_ss,interval velocity,average velocity,twt picked,vp
NO 15/6-8 S,1466.34,2339.4433129667345,,,2224.000968987299
NO 15/6-8 S,1466.49,2339.4433129667345,,,2230.816297254808
NO 15/6-8 S,1466.65,2339.4433129667345,,,2251.4969352162784
NO 15/6-8 S,1466.8,2339.4433129667345,,,2282.8964023410176
NO 15/6-8 S,1466.95,2339.4433129667345,,,2315.381027549084
NO 15/6-8 S,1467.1,2339.4433129667345,,,2337.84821321053
NO 15/6-8 S,1467.26,2339.4433129667345,,,2343.751802220567
NO 15/6-8 S,1467.41,2339.4433129667345,,,2334.215556535804
NO 15/6-8 S,1467.56,2339.4433129667345,,,2315.009968669895
NO 15/6-8 S,1467.71,2339.4433129667345,,,2291.259012247862
NO 15/6-8 S,1467.87,2339.4433129667345,,,2266.0732845721154
NO 15/6-8 S,1468.02,2339.4433129667345,,,2242.909778071142
NO 15/6-8 S,1468.17,2339.4433129667345,,,2227.168237424318
NO 15/6-8 S,1468.32,2339.4433129667345,,,2223.5077585684926
NO 15/6-8 S,1468.48,2339.4433129667345,,,2230.826093639072
NO 15/6-8 S,1468.63,2339.4433129667345,,,2241.9149837593563
NO 15/6-8 S,1468.78,2339.4433129667345,,,2249.986159041837
NO 15/6-8 S,1468.93,2339.4433129667345,,,2253.416165599473
NO 15/6-8 S,1469.08,2339.4433129667345,,,2253.754408796149
NO 15/6-8 S,1469.24,2339.4433129667345,,,2251.644964049769
NO 15/6-8 S,1469.39,2339.4433129667345,,,2245.720752581695
NO 15/6-8 S,1469.54,2339.4433129667345,,,2234.422272087829
NO 15/6-8 S,1469.69,2339.4433129667345,,,2218.188857530853
NO 15/6-8 S,1469.85,2339.4433129667345,,,2199.7404768125125
NO 15/6-8 S,1470.0,2339.4433129667345,,,2181.646398637187
NO 15/6-8 S,1470.15,2339.4433129667345,,,2164.9187977882034
NO 15/6-8 S,1470.3,2339.4433129667345,,,2150.3677072339274
NO 15/6-8 S,1470.46,2339.4433129667345,,,2139.621536891273
NO 15/6-8 S,1470.61,2339.4433129667345,,,2134.337200068904
NO 15/6-8 S,1470.76,2339.4433129667345,,,2135.4407499264366
NO 15/6-8 S,1470.91,2339.4433129667345,,,2142.986710388845
NO 15/6-8 S,1471.07,2339.4433129667345,,,2155.477231710974
NO 15/6-8 S,1471.22,2339.4433129667345,,,2169.9247574318856
NO 15/6-8 S,1471.37,2339.4433129667345,,,2183.1965492888144
NO 15/6-8 S,1471.52,2339.4433129667345,,,2192.608578365255
NO 15/6-8 S,1471.68,2339.4433129667345,,,2196.718759459296
NO 15/6-8 S,1471.83,2339.4433129667345,,,2196.33727612384
NO 15/6-8 S,1471.98,2339.4433129667345,,,2193.0171685615733
NO 15/6-8 S,1472.13,2339.4433129667345,,,2187.023516960554
NO 15/6-8 S,1472.28,2339.4433129667345,,,2178.4779529168595
NO 15/6-8 S,1472.44,2339.4433129667345,,,2169.1232984337908
NO 15/6-8 S,1472.59,2339.4433129667345,,,2161.8370508230305
NO 15/6-8 S,1472.74,2339.4433129667345,,,2159.5961385174032
NO 15/6-8 S,1472.89,2339.4433129667345,,,2163.623302393331
NO 15/6-8 S,1473.05,2339.4433129667345,,,2171.97820325811
NO 15/6-8 S,1473.2,2339.4433129667345,,,2181.6510832742238
NO 15/6-8 S,1473.35,2339.4433129667345,,,2191.273440443086
NO 15/6-8 S,1473.5,2339.4433129667345,,,2201.089134722109
NO 15/6-8 S,1473.66,2339.4433129667345,,,2211.005993219001
NO 15/6-8 S,1473.81,2339.4433129667345,,,2219.776842513096
NO 15/6-8 S,1473.96,2339.4433129667345,,,2225.7988193334872
NO 15/6-8 S,1474.11,2339.4433129667345,,,2228.36989770554
NO 15/6-8 S,1474.27,2339.4433129667345,,,2228.0832051649422
NO 15/6-8 S,1474.42,2339.4433129667345,,,2225.057889465432
NO 15/6-8 S,1474.57,2339.4433129667345,,,2218.613497584492
NO 15/6-8 S,1474.72,2339.4433129667345,,,2208.9325521867568
NO 15/6-8 S,1474.88,2339.4433129667345,,,2198.7772547746576
NO 15/6-8 S,1475.03,2339.4433129667345,,,2192.5596839491395
NO 15/6-8 S,1475.18,2339.4433129667345,,,2193.640601351162
NO 15/6-8 S,1475.33,2339.4433129667345,,,2203.4441103775134
NO 15/6-8 S,1475.48,2339.4433129667345,,,2220.7132511300288
NO 15/6-8 S,1475.64,2339.4433129667345,,,2241.5951214417987
NO 15/6-8 S,1475.79,2339.4433129667345,,,2261.1628222694867
NO 15/6-8 S,1475.94,2339.4433129667345,,,2275.1735864886937
NO 15/6-8 S,1476.09,2339.4433129667345,,,2280.8532546309257
NO 15/6-8 S,1476.25,2339.4433129667345,,,2277.647297946605
NO 15/6-8 S,1476.4,2339.4433129667345,,,2267.8149587991293
NO 15/6-8 S,1476.55,2339.4433129667345,,,2255.1718014738526
NO 15/6-8 S,1476.7,2339.4433129667345,,,2244.255721453112
NO 15/6-8 S,1476.86,2339.4433129667345,,,2239.004965037585
NO 15/6-8 S,1477.01,2339.4433129667345,,,2241.217669442453
NO 15/6-8 S,1477.16,2339.4433129667345,,,2250.612494443616
NO 15/6-8 S,1477.31,2339.4433129667345,,,2264.125715431785
NO 15/6-8 S,1477.47,2339.4433129667345,,,2275.307760008779
NO 15/6-8 S,1477.62,2339.4433129667345,,,2278.081389091518
NO 15/6-8 S,1477.77,2339.4433129667345,,,2272.103813079208
NO 15/6-8 S,1477.92,2339.4433129667345,,,2262.025358729169
NO 15/6-8 S,1478.08,2339.4433129667345,,,2252.1407528859254
NO 15/6-8 S,1478.23,2339.4433129667345,,,2242.7793982169605
NO 15/6-8 S,1478.38,2339.4433129667345,,,2231.8176060241503
NO 15/6-8 S,1478.53,2339.4433129667345,,,2220.7553191024303
NO 15/6-8 S,1478.68,2339.4433129667345,,,2215.212872654331
NO 15/6-8 S,1478.84,2339.4433129667345,,,2217.617545370942
NO 15/6-8 S,1478.99,2339.4433129667345,,,2222.9126281566014
NO 15/6-8 S,1479.14,2339.4433129667345,,,2223.791652318055
NO 15/6-8 S,1479.29,2339.4433129667345,,,2219.212791053252
NO 15/6-8 S,1479.45,2339.4433129667345,,,2215.3400670561928
NO 15/6-8 S,1479.6,2339.4433129667345,,,2218.5085333969964
NO 15/6-8 S,1479.75,2339.4433129667345,,,2228.4725385358324
NO 15/6-8 S,1479.9,2339.4433129667345,,,2241.4929166470565
NO 15/6-8 S,1480.06,2339.4433129667345,,,2257.7192443158883
NO 15/6-8 S,1480.21,2339.4433129667345,,,2280.885684074884
NO 15/6-8 S,1480.36,2339.4433129667345,,,2312.5702761882653
NO 15/6-8 S,1480.51,2339.4433129667345,,,2348.4614418536203
NO 15/6-8 S,1480.67,2339.4433129667345,,,2380.385250670655
NO 15/6-8 S,1480.82,2339.4433129667345,,,2401.4427565537408
NO 15/6-8 S,1480.97,2339.4433129667345,,,2409.15097978463
NO 15/6-8 S,1481.12,2339.4433129667345,,,2403.175218911286
NO 15/6-8 S,1481.28,2339.4433129667345,,,2382.4170120832628
NO 15/6-8 S,1481.43,2339.4433129667345,,,2346.8195897839432
NO 15/6-8 S,1481.58,2339.4433129667345,,,2300.1534190256198
NO 15/6-8 S,1481.73,2339.4433129667345,,,2251.946071506676
NO 15/6-8 S,1481.88,2339.4433129667345,,,2215.3078645609617
NO 15/6-8 S,1482.04,2339.4433129667345,,,2199.99610236911
NO 15/6-8 S,1482.19,2339.4433129667345,,,2207.392011239739
NO 15/6-8 S,1482.34,2339.4433129667345,,,2231.891146978234
NO 15/6-8 S,1482.49,2339.4433129667345,,,2266.0160048532
NO 15/6-8 S,1482.65,2339.4433129667345,,,2305.7772277265176
NO 15/6-8 S,1482.8,2339.4433129667345,,,2351.895405470472
NO 15/6-8 S,1482.95,2339.4433129667345,,,2402.311515489708
NO 15/6-8 S,1483.1,2339.4433129667345,,,2446.1925911182666
NO 15/6-8 S,1483.26,2339.4433129667345,,,2469.349843194665
NO 15/6-8 S,1483.41,2339.4433129667345,,,2465.720179589856
NO 15/6-8 S,1483.56,2339.4433129667345,,,2443.545128622828
NO 15/6-8 S,1483.71,2339.4433129667345,,,2418.857565953152
NO 15/6-8 S,1483.87,2339.4433129667345,,,2401.6262981231384
NO 15/6-8 S,1484.02,2339.4433129667345,,,2390.9239022576503
NO 15/6-8 S,1484.17,2339.4433129667345,,,2384.8925507317817
NO 15/6-8 S,1484.32,2339.4433129667345,,,2387.9586713924427
NO 15/6-8 S,1484.48,2339.4433129667345,,,2407.0049529970693
NO 15/6-8 S,1484.63,2339.4433129667345,,,2443.9761760432607
NO 15/6-8 S,1484.78,2339.4433129667345,,,2490.833031649433
NO 15/6-8 S,1484.93,2339.4433129667345,,,2534.1545501709397
NO 15/6-8 S,1485.08,2339.4433129667345,,,2565.1966440360447
NO 15/6-8 S,1485.24,2339.4433129667345,,,2579.1580673576573
NO 15/6-8 S,1485.39,2339.4433129667345,,,2567.6644446709597
NO 15/6-8 S,1485.54,2339.4433129667345,,,2524.817431180502
NO 15/6-8 S,1485.69,2339.4433129667345,,,2458.768437738224
NO 15/6-8 S,1485.85,2339.4433129667345,,,2388.0727986129127
NO 15/6-8 S,1486.0,2339.4433129667345,,,2327.991732879752
NO 15/6-8 S,1486.15,2339.4433129667345,,,2282.677562807334
NO 15/6-8 S,1486.3,2339.4433129667345,,,2250.062563255327
NO 15/6-8 S,1486.46,2339.4433129667345,,,2230.5697832439423
NO 15/6-8 S,1486.61,2339.4433129667345,,,2227.4172556143994
NO 15/6-8 S,1486.76,2339.4433129667345,,,2240.008701346137
NO 15/6-8 S,1486.91,2339.4433129667345,,,2260.9867040926238
NO 15/6-8 S,1487.07,2339.4433129667345,,,2279.6028644616044
NO 15/6-8 S,1487.22,2339.4433129667345,,,2287.022870979046
NO 15/6-8 S,1487.37,2339.4433129667345,,,2279.2500011216785
NO 15/6-8 S,1487.52,2339.4433129667345,,,2257.40154418708
NO 15/6-8 S,1487.68,2339.4433129667345,,,2228.857118412422
NO 15/6-8 S,1487.83,2339.4433129667345,,,2204.738306677073
NO 15/6-8 S,1487.98,2339.4433129667345,,,2192.2726703866256
NO 15/6-8 S,1488.13,2339.4433129667345,,,2190.1759685672387
NO 15/6-8 S,1488.28,2339.4433129667345,,,2193.6027117765807
NO 15/6-8 S,1488.44,2339.4433129667345,,,2203.049141439658
NO 15/6-8 S,1488.59,2339.4433129667345,,,2224.828885987009
NO 15/6-8 S,1488.74,2339.4433129667345,,,2261.541988776876
NO 15/6-8 S,1488.89,2339.4433129667345,,,2302.834874348928
NO 15/6-8 S,1489.05,2339.4433129667345,,,2329.269084837207
NO 15/6-8 S,1489.2,2339.4433129667345,,,2328.9932147441773
NO 15/6-8 S,1489.35,2339.4433129667345,,,2308.158902503761
NO 15/6-8 S,1489.5,2339.4433129667345,,,2282.281023072903
NO 15/6-8 S,1489.66,2339.4433129667345,,,2261.285282504863
NO 15/6-8 S,1489.81,2339.4433129667345,,,2245.189747261465
NO 15/6-8 S,1489.96,2339.4433129667345,,,2229.404884942082
NO 15/6-8 S,1490.11,2339.4433129667345,,,2211.6396971911163
NO 15/6-8 S,1490.27,2339.4433129667345,,,2195.35963779447
NO 15/6-8 S,1490.42,2339.4433129667345,,,2186.0557186012684
NO 15/6-8 S,1490.57,2339.4433129667345,,,2186.0008448520325
NO 15/6-8 S,1490.72,2339.4433129667345,,,2192.8167983579774
NO 15/6-8 S,1490.88,2339.4433129667345,,,2200.1914339790983
NO 15/6-8 S,1491.03,2339.4433129667345,,,2201.3387143835243
NO 15/6-8 S,1491.18,2339.4433129667345,,,2194.939109883059
NO 15/6-8 S,1491.33,2339.4433129667345,,,2187.0580409901177
NO 15/6-8 S,1491.48,2339.4433129667345,,,2184.8475660239
NO 15/6-8 S,1491.64,2339.4433129667345,,,2189.3154510506997
NO 15/6-8 S,1491.79,2339.4433129667345,,,2193.8805990560845
NO 15/6-8 S,1491.94,2339.4433129667345,,,2190.59782190756
NO 15/6-8 S,1492.09,2339.4433129667345,,,2178.9202335047594
NO 15/6-8 S,1492.25,2339.4433129667345,,,2165.355589324115
NO 15/6-8 S,1492.4,2339.4433129667345,,,2155.4848532636715
NO 15/6-8 S,1492.55,2339.4433129667345,,,2149.459355966125
NO 15/6-8 S,1492.7,2339.4433129667345,,,2144.3616935954783
NO 15/6-8 S,1492.86,2339.4433129667345,,,2139.4202929068533
NO 15/6-8 S,1493.01,2339.4433129667345,,,2138.0291411688454
NO 15/6-8 S,1493.16,2339.4433129667345,,,2143.761429174286
NO 15/6-8 S,1493.31,2339.4433129667345,,,2155.7851853423585
NO 15/6-8 S,1493.47,2339.4433129667345,,,2169.319361815852
NO 15/6-8 S,1493.62,2339.4433129667345,,,2179.699333074935
NO 15/6-8 S,1493.77,2339.4433129667345,,,2185.928729256806
NO 15/6-8 S,1493.92,2339.4433129667345,,,2190.5254026923053
NO 15/6-8 S,1494.08,2339.4433129667345,,,2196.027121799532
NO 15/6-8 S,1494.23,2339.4433129667345,,,2201.9509805833877
NO 15/6-8 S,1494.38,2339.4433129667345,,,2204.751064942505
NO 15/6-8 S,1494.53,2339.4433129667345,,,2199.8277956325337
NO 15/6-8 S,1494.68,2339.4433129667345,,,2183.841009496269
NO 15/6-8 S,1494.84,2339.4433129667345,,,2157.3339089998617
NO 15/6-8 S,1494.99,2339.4433129667345,,,2126.424592853874
NO 15/6-8 S,1495.14,2339.4433129667345,,,2100.733188965361
NO 15/6-8 S,1495.29,2339.4433129667345,,,2088.117460717633
NO 15/6-8 S,1495.45,2339.4433129667345,,,2091.164623641824
NO 15/6-8 S,1495.6,2339.4433129667345,,,2108.222066057625
NO 15/6-8 S,1495.75,2339.4433129667345,,,2136.434621455748
NO 15/6-8 S,1495.9,2339.4433129667345,,,2174.0836109189213
NO 15/6-8 S,1496.06,2339.4433129667345,,,2218.8460690098987
NO 15/6-8 S,1496.21,2339.4433129667345,,,2263.483432682533
NO 15/6-8 S,1496.36,2339.4433129667345,,,2295.970827310302
NO 15/6-8 S,1496.51,2339.4433129667345,,,2305.780716320131
NO 15/6-8 S,1496.67,2339.4433129667345,,,2290.9972377247877
NO 15/6-8 S,1496.82,2339.4433129667345,,,2258.9373656254656
NO 15/6-8 S,1496.97,2339.4433129667345,,,2220.646916411732
NO 15/6-8 S,1497.12,2339.4433129667345,,,2185.373911883831
NO 15/6-8 S,1497.28,2339.4433129667345,,,2158.9689648211306
NO 15/6-8 S,1497.43,2339.4433129667345,,,2143.86697896225
NO 15/6-8 S,1497.58,2339.4433129667345,,,2138.2226234897225
NO 15/6-8 S,1497.73,2339.4433129667345,,,2137.006816266492
NO 15/6-8 S,1497.89,2339.4433129667345,,,2135.210375665327
NO 15/6-8 S,1498.04,2339.4433129667345,,,2130.9827270146807
NO 15/6-8 S,1498.19,2339.4433129667345,,,2125.9069804099904
NO 15/6-8 S,1498.34,2339.4433129667345,,,2122.3217698826666
NO 15/6-8 S,1498.49,2339.4433129667345,,,2121.24944933116
NO 15/6-8 S,1498.65,2339.4433129667345,,,2121.853419469815
NO 15/6-8 S,1498.8,2339.4433129667345,,,2121.9272780434826
NO 15/6-8 S,1498.95,2339.4433129667345,,,2119.609096238459
NO 15/6-8 S,1499.1,2339.4433129667345,,,2115.1302595475786
NO 15/6-8 S,1499.26,2339.4433129667345,,,2110.2626058419933
NO 15/6-8 S,1499.41,2339.4433129667345,,,2106.355762659039
NO 15/6-8 S,1499.56,2339.4433129667345,,,2103.153902840914
NO 15/6-8 S,1499.71,2339.4433129667345,,,2099.292108783003
NO 15/6-8 S,1499.87,2339.4433129667345,,,2094.50563345052
NO 15/6-8 S,1500.02,2339.4433129667345,,,2091.237795967095
NO 15/6-8 S,1500.17,2339.4433129667345,,,2092.851757707092
NO 15/6-8 S,1500.32,2339.4433129667345,,,2100.591308183209
NO 15/6-8 S,1500.48,2339.4433129667345,,,2112.542807062048
NO 15/6-8 S,1500.63,2339.4433129667345,,,2124.934728669957
NO 15/6-8 S,1500.78,2339.4433129667345,,,2135.0608086052475
NO 15/6-8 S,1500.93,2339.4433129667345,,,2142.7336163128957
NO 15/6-8 S,1501.09,2339.4433129667345,,,2148.795638114051
NO 15/6-8 S,1501.24,2339.4433129667345,,,2153.3468364947075
NO 15/6-8 S,1501.39,2339.4433129667345,,,2156.0352718316253
NO 15/6-8 S,1501.54,2339.4433129667345,,,2156.998036197654
NO 15/6-8 S,1501.69,2339.4433129667345,,,2156.647008253703
NO 15/6-8 S,1501.85,2339.4433129667345,,,2154.864635193012
NO 15/6-8 S,1502.0,2339.4433129667345,,,2150.539151736483
NO 15/6-8 S,1502.15,2339.4433129667345,,,2142.720059388777
NO 15/6-8 S,1502.3,2339.4433129667345,,,2132.8720507690728
NO 15/6-8 S,1502.46,2339.4433129667345,,,2125.0532483404995
NO 15/6-8 S,1502.61,2339.4433129667345,,,2122.4355644439124
NO 15/6-8 S,1502.76,2339.4433129667345,,,2123.9234049669703
NO 15/6-8 S,1502.91,2339.4433129667345,,,2125.4074046181586
NO 15/6-8 S,1503.07,2339.4433129667345,,,2124.4593014097545
NO 15/6-8 S,1503.22,2339.4433129667345,,,2122.846508725401
NO 15/6-8 S,1503.37,2339.4433129667345,,,2123.6733138291684
NO 15/6-8 S,1503.52,2339.4433129667345,,,2126.51212244468
NO 15/6-8 S,1503.68,2339.4433129667345,,,2126.982531946608
NO 15/6-8 S,1503.83,2339.4433129667345,,,2121.792859275987
NO 15/6-8 S,1503.98,2339.4433129667345,,,2112.3495522692165
NO 15/6-8 S,1504.13,2339.4433129667345,,,2103.0174989271027
NO 15/6-8 S,1504.29,2339.4433129667345,,,2097.4920931154365
NO 15/6-8 S,1504.44,2339.4433129667345,,,2097.020208587463
NO 15/6-8 S,1504.59,2339.4433129667345,,,2100.8635045270576
NO 15/6-8 S,1504.74,2339.4433129667345,,,2106.945454444908
NO 15/6-8 S,1504.89,2339.4433129667345,,,2111.707087936527
NO 15/6-8 S,1505.05,2339.4433129667345,,,2111.024075232244
NO 15/6-8 S,1505.2,2339.4433129667345,,,2103.619841110446
NO 15/6-8 S,1505.35,2339.4433129667345,,,2092.514113142677
NO 15/6-8 S,1505.5,2339.4433129667345,,,2081.904642210207
NO 15/6-8 S,1505.66,2339.4433129667345,,,2073.803735704328
NO 15/6-8 S,1505.81,2339.4433129667345,,,2067.9464233618246
NO 15/6-8 S,1505.96,2339.4433129667345,,,2064.3874871568414
NO 15/6-8 S,1506.11,2339.4433129667345,,,2064.973496796852
NO 15/6-8 S,1506.27,2339.4433129667345,,,2071.8922126626057
NO 15/6-8 S,1506.42,2339.4433129667345,,,2085.477196593173
NO 15/6-8 S,1506.57,2339.4433129667345,,,2104.286448063891
NO 15/6-8 S,1506.72,2339.4433129667345,,,2127.4783936700537
NO 15/6-8 S,1506.88,2339.4433129667345,,,2155.500096530762
NO 15/6-8 S,1507.03,2339.4433129667345,,,2186.935642530733
NO 15/6-8 S,1507.18,2339.4433129667345,,,2216.403274866728
NO 15/6-8 S,1507.33,2339.4433129667345,,,2239.12668182436
NO 15/6-8 S,1507.49,2339.4433129667345,,,2256.9569141889874
NO 15/6-8 S,1507.64,2339.4433129667345,,,2275.902390070853
NO 15/6-8 S,1507.79,2339.4433129667345,,,2297.623678187953
NO 15/6-8 S,1507.94,2339.4433129667345,,,2315.031068354938
NO 15/6-8 S,1508.09,2339.4433129667345,,,2318.459593539348
NO 15/6-8 S,1508.25,2339.4433129667345,,,2307.5403119267585
NO 15/6-8 S,1508.4,2339.4433129667345,,,2291.6380023953934
NO 15/6-8 S,1508.55,2339.4433129667345,,,2278.3623597794294
NO 15/6-8 S,1508.7,2339.4433129667345,,,2268.9342113294856
NO 15/6-8 S,1508.86,2339.4433129667345,,,2264.892896870837
NO 15/6-8 S,1509.01,2339.4433129667345,,,2272.086876014724
NO 15/6-8 S,1509.16,2339.4433129667345,,,2295.3103526178065
NO 15/6-8 S,1509.31,2339.4433129667345,,,2332.6828148318223
NO 15/6-8 S,1509.47,2339.4433129667345,,,2375.469073309875
NO 15/6-8 S,1509.62,2339.4433129667345,,,2415.7480140221173
NO 15/6-8 S,1509.77,2339.4433129667345,,,2453.64399943972
NO 15/6-8 S,1509.92,2339.4433129667345,,,2490.045536462665
NO 15/6-8 S,1510.08,2339.4433129667345,,,2516.086692724564
NO 15/6-8 S,1510.23,2339.4433129667345,,,2518.0073045343133
NO 15/6-8 S,1510.38,2339.4433129667345,,,2492.046789650157
NO 15/6-8 S,1510.53,2339.4433129667345,,,2447.620676612936
NO 15/6-8 S,1510.69,2339.4433129667345,,,2398.660905053793
NO 15/6-8 S,1510.84,2339.4433129667345,,,2354.72075932019
NO 15/6-8 S,1510.99,2339.4433129667345,,,2317.3737647135754
NO 15/6-8 S,1511.14,2339.4433129667345,,,2286.170319688817
NO 15/6-8 S,1511.29,2339.4433129667345,,,2263.528817662654
NO 15/6-8 S,1511.45,2339.4433129667345,,,2250.8734319395103
NO 15/6-8 S,1511.6,2339.4433129667345,,,2244.346610175108
NO 15/6-8 S,1511.75,2339.4433129667345,,,2237.566748935908
NO 15/6-8 S,1511.9,2339.4433129667345,,,2227.9138306083787
NO 15/6-8 S,1512.06,2339.4433129667345,,,2219.4083179753875
NO 15/6-8 S,1512.21,2339.4433129667345,,,2220.412349805277
NO 15/6-8 S,1512.36,2339.4433129667345,,,2237.151243314419
NO 15/6-8 S,1512.51,2339.4433129667345,,,2267.7002261004263
NO 15/6-8 S,1512.67,2339.4433129667345,,,2302.502611844744
NO 15/6-8 S,1512.82,2339.4433129667345,,,2331.678158035454
NO 15/6-8 S,1512.97,2339.4433129667345,,,2353.964244148105
NO 15/6-8 S,1513.12,2339.4433129667345,,,2377.0122328785715
NO 15/6-8 S,1513.28,2339.4433129667345,,,2407.3262329846348
NO 15/6-8 S,1513.43,2339.4433129667345,,,2439.0868468560748
NO 15/6-8 S,1513.58,2339.4433129667345,,,2453.604496342938
NO 15/6-8 S,1513.73,2339.4433129667345,,,2436.793665615626
NO 15/6-8 S,1513.89,2339.4433129667345,,,2395.9966103879974
NO 15/6-8 S,1514.04,2339.4433129667345,,,2352.3401076303644
NO 15/6-8 S,1514.19,2339.4433129667345,,,2322.8131034703497
NO 15/6-8 S,1514.34,2339.4433129667345,,,2315.481286611459
NO 15/6-8 S,1514.49,2339.4433129667345,,,2333.39534285524
NO 15/6-8 S,1514.65,2339.4433129667345,,,2377.7483939666977
NO 15/6-8 S,1514.8,2339.4433129667345,,,2448.592019421641
NO 15/6-8 S,1514.95,2339.4433129667345,,,2543.6331560245217
NO 15/6-8 S,1515.1,2339.4433129667345,,,2660.106002780544
NO 15/6-8 S,1515.26,2339.4433129667345,,,2798.8929313261137
NO 15/6-8 S,1515.41,2339.4433129667345,,,2955.9401984591877
NO 15/6-8 S,1515.56,2339.4433129667345,,,3104.0118946387565
NO 15/6-8 S,1515.71,2339.4433129667345,,,3199.00318724832
NO 15/6-8 S,1515.87,2339.4433129667345,,,3221.146616173856
NO 15/6-8 S,1516.02,2339.4433129667345,,,3197.366913798233
NO 15/6-8 S,1516.17,2339.4433129667345,,,3166.5150590230933
NO 15/6-8 S,1516.32,2339.4433129667345,,,3142.569987136909
NO 15/6-8 S,1516.48,2339.4433129667345,,,3120.83466354474
NO 15/6-8 S,1516.63,2339.4433129667345,,,3106.1059235111225
NO 15/6-8 S,1516.78,2339.4433129667345,,,3119.964795987775
NO 15/6-8 S,1516.93,2339.4433129667345,,,3180.382134182493
NO 15/6-8 S,1517.08,2339.4433129667345,,,3283.292565065853
NO 15/6-8 S,1517.24,2339.4433129667345,,,3402.4624093765083
NO 15/6-8 S,1517.39,2339.4433129667345,,,3510.502368091837
NO 15/6-8 S,1517.54,2339.4433129667345,,,3595.455570644096
NO 15/6-8 S,1517.69,2339.4433129667345,,,3650.690265520644
NO 15/6-8 S,1517.85,2339.4433129667345,,,3660.915618056962
NO 15/6-8 S,1518.0,2339.4433129667345,,,3608.4914623305103
NO 15/6-8 S,1518.15,2339.4433129667345,,,3493.4089413389243
NO 15/6-8 S,1518.3,2339.4433129667345,,,3341.745439252046
NO 15/6-8 S,1518.46,2339.4433129667345,,,3190.162910776649
NO 15/6-8 S,1518.61,2339.4433129667345,,,3061.986542127128
NO 15/6-8 S,1518.76,2339.4433129667345,,,2963.905120029406
NO 15/6-8 S,1518.91,2339.4433129667345,,,2896.930850032505
NO 15/6-8 S,1519.06,2339.4433129667345,,,2860.7066733866995
NO 15/6-8 S,1519.22,2339.4433129667345,,,2851.5909688392585
NO 15/6-8 S,1519.37,2339.4433129667345,,,2859.7538434979074
NO 15/6-8 S,1519.52,2339.4433129667345,,,2867.925806533565
NO 15/6-8 S,1519.67,2339.4433129667345,,,2858.1582695764623
NO 15/6-8 S,1519.83,2339.4433129667345,,,2825.683684736024
NO 15/6-8 S,1519.98,2339.4433129667345,,,2781.3746451420398
NO 15/6-8 S,1520.13,2339.4433129667345,,,2738.254165326588
NO 15/6-8 S,1520.28,2339.4433129667345,,,2697.896649669092
NO 15/6-8 S,1520.44,2339.4433129667345,,,2649.1332519240545
NO 15/6-8 S,1520.59,2339.4433129667345,,,2581.2505345847767
NO 15/6-8 S,1520.74,2339.4433129667345,,,2498.7354660576134
NO 15/6-8 S,1520.89,2339.4433129667345,,,2419.364440581505
NO 15/6-8 S,1521.05,2339.4433129667345,,,2358.282538960406
NO 15/6-8 S,1521.2,2339.4433129667345,,,2316.700920599789
NO 15/6-8 S,1521.35,2339.4433129667345,,,2284.015190799196
NO 15/6-8 S,1521.5,2339.4433129667345,,,2250.1605675601854
