uwi,tvd_ss,interval velocity,average velocity,twt picked,vp
NO 15/6-8 S,0.0,1478.0,,0.0,
NO 15/6-8 S,102.0,1478.0,1478.0,138.02435723951285,
NO 15/6-8 S,1274.97,1976.734199349804,1924.7735507246373,1324.8,
NO 15/6-8 S,1284.97,2040.8163265306216,1925.6256556271544,1334.6,
NO 15/6-8 S,1294.97,2040.8163265305743,1926.465337697114,1344.4,
NO 15/6-8 S,1304.97,2040.8163265306216,1927.2928666371288,1354.2,
NO 15/6-8 S,1314.97,2040.8163265306216,1928.1085043988269,1364.0,
NO 15/6-8 S,1324.97,2083.333333333353,1929.193360512522,1373.6,
NO 15/6-8 S,1334.97,2083.333333333304,1930.2631578947369,1383.2,
NO 15/6-8 S,1344.96,2171.739130434774,1931.8586613042228,1392.4,
NO 15/6-8 S,1354.96,2222.222222222222,1933.723419437705,1401.4,
NO 15/6-8 S,1364.96,2127.6595744681163,1935.015593989226,1410.8,
NO 15/6-8 S,1374.96,2272.7272727272843,1937.1090448013529,1419.6,
NO 15/6-8 S,1384.96,2222.222222222222,1938.905221895562,1428.6,
NO 15/6-8 S,1394.96,2222.222222222222,1940.6789092932668,1437.6,
NO 15/6-8 S,1404.96,2222.222222222222,1942.430526752385,1446.6,
NO 15/6-8 S,1414.96,2272.7272727272257,1944.427648756356,1455.4,
NO 15/6-8 S,1424.96,2222.222222222222,1946.134935809888,1464.4,
NO 15/6-8 S,1444.96,2352.9411764705883,1950.80329418118,1481.4,
NO 15/6-8 S,1454.96,2272.7272727272843,1952.704334988592,1490.2,
NO 15/6-8 S,1465.12,2339.4433129667345,,,2263.384264429817
NO 15/6-8 S,1465.28,2339.4433129667345,,,2274.1550633525285
NO 15/6-8 S,1465.43,2339.4433129667345,,,2278.858058843584
NO 15/6-8 S,1465.58,2339.4433129667345,,,2267.980329288719
NO 15/6-8 S,1465.73,2339.4433129667345,,,2250.78035175089
NO 15/6-8 S,1465.88,2339.4433129667345,,,2238.385072732827
NO 15/6-8 S,1466.04,2339.4433129667345,,,2231.7685814137903
NO 15/6-8 S,1466.19,2339.4433129667345,,,2226.624822483651
