# TIME-CKS exported from Petrel Studio.
# Well log LFP_VP_V used to extend TD-relationship below last check-shot (1m sampling).
WELL,TVDSS,TWT
NO_16_1-6_S,-3.552714e-15,0.0
NO_16_1-6_S,112.0,0.15159999999999998
NO_16_1-6_S,209.0,0.25939999999999996
NO_16_1-6_S,224.0,0.2762
NO_16_1-6_S,239.0,0.2926
NO_16_1-6_S,254.0,0.3114
NO_16_1-6_S,298.99,0.3688
NO_16_1-6_S,313.99,0.38639999999999997
NO_16_1-6_S,328.99,0.4024
NO_16_1-6_S,343.99,0.4168
NO_16_1-6_S,408.99,0.4784
NO_16_1-6_S,423.99,0.4934
NO_16_1-6_S,438.99,0.5114
NO_16_1-6_S,453.99,0.5276000000000001
NO_16_1-6_S,508.98,0.5846
NO_16_1-6_S,523.98,0.5996
NO_16_1-6_S,538.98,0.6162000000000001
NO_16_1-6_S,553.98,0.6316
NO_16_1-6_S,608.98,0.687
NO_16_1-6_S,623.98,0.7016
NO_16_1-6_S,638.98,0.717
NO_16_1-6_S,653.98,0.7313999999999999
NO_16_1-6_S,708.98,0.7817999999999999
NO_16_1-6_S,723.98,0.7954
NO_16_1-6_S,738.98,0.8096
NO_16_1-6_S,753.98,0.8236
NO_16_1-6_S,768.98,0.8378
NO_16_1-6_S,783.98,0.8516
NO_16_1-6_S,798.98,0.867
NO_16_1-6_S,813.98,0.8816
NO_16_1-6_S,828.98,0.8957999999999999
NO_16_1-6_S,843.98,0.909
NO_16_1-6_S,858.98,0.9232
NO_16_1-6_S,873.98,0.9374
NO_16_1-6_S,888.98,0.9510000000000001
NO_16_1-6_S,903.98,0.9652000000000001
NO_16_1-6_S,918.98,0.9792000000000001
NO_16_1-6_S,933.98,0.9936
NO_16_1-6_S,948.98,1.0074
NO_16_1-6_S,963.98,1.0212
NO_16_1-6_S,978.98,1.0354
NO_16_1-6_S,993.98,1.0495999999999999
NO_16_1-6_S,1008.98,1.064
NO_16_1-6_S,1023.98,1.0777999999999999
NO_16_1-6_S,1038.98,1.092
NO_16_1-6_S,1053.98,1.1058
NO_16_1-6_S,1068.98,1.1196
NO_16_1-6_S,1083.98,1.133
NO_16_1-6_S,1098.98,1.1464
NO_16_1-6_S,1113.98,1.1596
NO_16_1-6_S,1128.98,1.1736
NO_16_1-6_S,1143.98,1.187
NO_16_1-6_S,1158.98,1.2016
NO_16_1-6_S,1173.97,1.2152
NO_16_1-6_S,1188.97,1.2296
NO_16_1-6_S,1203.97,1.2436
NO_16_1-6_S,1218.95,1.2582
NO_16_1-6_S,1233.92,1.2722
NO_16_1-6_S,1248.87,1.2862
NO_16_1-6_S,1263.79,1.3
NO_16_1-6_S,1278.67,1.3135999999999999
NO_16_1-6_S,1293.51,1.3276
NO_16_1-6_S,1308.3,1.3414000000000001
