# TIME-CKS exported from Petrel Studio.
# Well log LFP_VP_V used to extend TD-relationship below last check-shot (1m sampling).
WELL,TVDSS,TWT
NO_16_1-6_S,1323.03,1.3556
NO_16_1-6_S,1337.69,1.3696
NO_16_1-6_S,1352.28,1.3836
NO_16_1-6_S,1366.81,1.3976
NO_16_1-6_S,1381.25,1.4114000000000002
NO_16_1-6_S,1395.58,1.4256
NO_16_1-6_S,1409.8,1.4396
NO_16_1-6_S,1423.87,1.454
NO_16_1-6_S,1437.8,1.4678
NO_16_1-6_S,1451.58,1.4816
NO_16_1-6_S,1465.17,1.4942
NO_16_1-6_S,1478.56,1.5068
NO_16_1-6_S,1491.72,1.5184000000000002
NO_16_1-6_S,1504.63,1.5302
NO_16_1-6_S,1517.33,1.5415999999999999
NO_16_1-6_S,1529.88,1.5538
NO_16_1-6_S,1542.4,1.5658
NO_16_1-6_S,1554.91,1.5782
NO_16_1-6_S,1567.43,1.5902
NO_16_1-6_S,1579.95,1.6026
NO_16_1-6_S,1592.47,1.6146
NO_16_1-6_S,1604.98,1.625
NO_16_1-6_S,1617.51,1.6352
NO_16_1-6_S,1630.04,1.6454000000000002
NO_16_1-6_S,1642.58,1.6572
NO_16_1-6_S,1655.11,1.6694000000000002
NO_16_1-6_S,1667.63,1.682
NO_16_1-6_S,1668.63,1.6829423299370796
NO_16_1-6_S,1669.63,1.6838702590435426
NO_16_1-6_S,1670.63,1.6848029011543761
NO_16_1-6_S,1671.63,1.6857268249736939
NO_16_1-6_S,1672.63,1.686648819189133
NO_16_1-6_S,1673.63,1.6875432508553312
NO_16_1-6_S,1674.63,1.6884200425151035
NO_16_1-6_S,1675.63,1.689300595726491
NO_16_1-6_S,1676.63,1.6901880103983875
NO_16_1-6_S,1677.63,1.6911099105285663
NO_16_1-6_S,1678.63,1.6920234669176188
NO_16_1-6_S,1679.63,1.6929362107297106
NO_16_1-6_S,1680.63,1.6938573784290263
NO_16_1-6_S,1681.63,1.694779764967443
NO_16_1-6_S,1682.63,1.6957072175537142
NO_16_1-6_S,1683.63,1.6966205222493225
NO_16_1-6_S,1684.63,1.6975435829285932
NO_16_1-6_S,1685.63,1.698453625176354
NO_16_1-6_S,1686.63,1.6993490623489833
NO_16_1-6_S,1687.63,1.7002359221692096
NO_16_1-6_S,1688.63,1.7011265434687168
NO_16_1-6_S,1689.63,1.7020074787146207
NO_16_1-6_S,1690.63,1.7028898235743886
NO_16_1-6_S,1691.63,1.7037609366042603
NO_16_1-6_S,1692.63,1.7046394041100497
NO_16_1-6_S,1693.63,1.705499114192597
NO_16_1-6_S,1694.63,1.7063717690582851
NO_16_1-6_S,1695.63,1.7072655566281614
NO_16_1-6_S,1696.63,1.7081679255768902
NO_16_1-6_S,1697.63,1.7090748447862063
NO_16_1-6_S,1698.63,1.7099712499122657
NO_16_1-6_S,1699.63,1.7108739148380983
NO_16_1-6_S,1700.63,1.7117585273691909
NO_16_1-6_S,1701.63,1.7126278264047081
NO_16_1-6_S,1702.63,1.7134955651643828
NO_16_1-6_S,1703.63,1.7143737489708752
NO_16_1-6_S,1704.63,1.7152397820045413
NO_16_1-6_S,1705.63,1.7160976558072194
NO_16_1-6_S,1706.63,1.7169543793784048
NO_16_1-6_S,1707.63,1.7178094401721946
NO_16_1-6_S,1708.63,1.7185947150680556
NO_16_1-6_S,1709.63,1.7194542623313798
NO_16_1-6_S,1710.63,1.7202911428247252
NO_16_1-6_S,1711.63,1.7211267643823855
NO_16_1-6_S,1712.63,1.721964724045521
NO_16_1-6_S,1713.63,1.7227935004048076
NO_16_1-6_S,1714.63,1.7235840789534005
NO_16_1-6_S,1715.63,1.7244219961866767
NO_16_1-6_S,1716.63,1.72526083484764
NO_16_1-6_S,1717.63,1.7260943856816093
NO_16_1-6_S,1718.63,1.7269349183311775
NO_16_1-6_S,1719.63,1.7277204432977342
NO_16_1-6_S,1720.63,1.7284864483089402
NO_16_1-6_S,1721.63,1.7292695432256444
NO_16_1-6_S,1722.63,1.7300734073595228
NO_16_1-6_S,1723.63,1.7308818587710384
NO_16_1-6_S,1724.63,1.7316805082599447
NO_16_1-6_S,1725.63,1.7325001340018173
NO_16_1-6_S,1726.63,1.7333045562888956
NO_16_1-6_S,1727.63,1.7341167694721495
NO_16_1-6_S,1728.63,1.734922543308083
NO_16_1-6_S,1729.63,1.7357184962911631
NO_16_1-6_S,1730.63,1.7365459254570719
NO_16_1-6_S,1731.63,1.737399778793547
NO_16_1-6_S,1732.63,1.7382824128313266
NO_16_1-6_S,1733.63,1.7391789601200422
NO_16_1-6_S,1734.63,1.7400574842830525
NO_16_1-6_S,1735.63,1.740910534521902
NO_16_1-6_S,1736.63,1.7417606274593722
NO_16_1-6_S,1737.63,1.742595095588702
NO_16_1-6_S,1738.63,1.7434244111406398
NO_16_1-6_S,1739.63,1.7442598714747277
NO_16_1-6_S,1740.63,1.745068958645078
NO_16_1-6_S,1741.63,1.7459087496998806
NO_16_1-6_S,1742.63,1.746770199042052
NO_16_1-6_S,1743.63,1.7476215911352004
NO_16_1-6_S,1744.63,1.7484661661487955
NO_16_1-6_S,1745.63,1.7493282140405095
NO_16_1-6_S,1746.63,1.750171196159035
NO_16_1-6_S,1747.63,1.7509818680252227
NO_16_1-6_S,1748.63,1.7518314230422813
NO_16_1-6_S,1749.63,1.7526962280350127
NO_16_1-6_S,1750.63,1.753566797324906
NO_16_1-6_S,1751.63,1.7544345999030997
NO_16_1-6_S,1752.63,1.755295507790149
NO_16_1-6_S,1753.63,1.756152075119992
NO_16_1-6_S,1754.63,1.7570035592133875
NO_16_1-6_S,1755.63,1.7578372058623168
NO_16_1-6_S,1756.63,1.7586870432512216
NO_16_1-6_S,1757.63,1.7595232747244052
NO_16_1-6_S,1758.63,1.7603426686583226
NO_16_1-6_S,1759.63,1.7611575788191045
NO_16_1-6_S,1760.63,1.7619793658487197
NO_16_1-6_S,1761.63,1.7627956402447562
NO_16_1-6_S,1762.63,1.763629164036771
NO_16_1-6_S,1763.63,1.7644624481060904
NO_16_1-6_S,1764.63,1.7653013224916836
NO_16_1-6_S,1765.63,1.7661470651811793
NO_16_1-6_S,1766.63,1.7669768926646199
NO_16_1-6_S,1767.63,1.7677909845710085
NO_16_1-6_S,1768.63,1.7686334167094027
NO_16_1-6_S,1769.63,1.7695450530359107
NO_16_1-6_S,1770.63,1.7702769785028414
NO_16_1-6_S,1771.63,1.7712014112973382
NO_16_1-6_S,1772.63,1.772156909098376
NO_16_1-6_S,1773.63,1.7730974521537506
NO_16_1-6_S,1774.63,1.7740499432355805
NO_16_1-6_S,1775.63,1.7749698037414583
NO_16_1-6_S,1776.63,1.7758424601983744
NO_16_1-6_S,1777.63,1.7767159038000686
NO_16_1-6_S,1778.63,1.7775739855163477
NO_16_1-6_S,1779.63,1.77843073618583
NO_16_1-6_S,1780.63,1.7792612866770878
NO_16_1-6_S,1781.63,1.7800881935168853
NO_16_1-6_S,1782.63,1.7809025519051198
NO_16_1-6_S,1783.63,1.7817279280940723
NO_16_1-6_S,1784.63,1.782569700519769
NO_16_1-6_S,1785.63,1.783372481646746
NO_16_1-6_S,1786.63,1.784208492217483
NO_16_1-6_S,1787.63,1.7850340719118236
NO_16_1-6_S,1788.63,1.7858540060810446
NO_16_1-6_S,1789.63,1.7866800417538455
NO_16_1-6_S,1790.63,1.7875307331636243
NO_16_1-6_S,1791.63,1.788394066668567
NO_16_1-6_S,1792.63,1.7892283001949472
NO_16_1-6_S,1793.63,1.790057505227438
NO_16_1-6_S,1794.63,1.7908860869318168
NO_16_1-6_S,1795.63,1.791707477013314
NO_16_1-6_S,1796.63,1.7925448831723354
NO_16_1-6_S,1797.63,1.7933892881855897
NO_16_1-6_S,1798.63,1.7942368544195004
NO_16_1-6_S,1799.63,1.7950855086758752
NO_16_1-6_S,1800.63,1.7959416229257974
NO_16_1-6_S,1801.63,1.7967944771445319
NO_16_1-6_S,1802.63,1.7976369277215578
NO_16_1-6_S,1803.63,1.7984758231814155
NO_16_1-6_S,1804.63,1.7993068517647821
NO_16_1-6_S,1805.63,1.800165542200235
NO_16_1-6_S,1806.63,1.8009980741246092
NO_16_1-6_S,1807.63,1.8018257774031603
NO_16_1-6_S,1808.63,1.8026645195370812
NO_16_1-6_S,1809.63,1.8035194884558805
NO_16_1-6_S,1810.63,1.804379367954744
NO_16_1-6_S,1811.63,1.8051785137504182
NO_16_1-6_S,1812.63,1.8060225051513554
NO_16_1-6_S,1813.63,1.8068776228564063
NO_16_1-6_S,1814.63,1.8077418258104117
NO_16_1-6_S,1815.63,1.8086052047498453
NO_16_1-6_S,1816.63,1.8094781714049275
NO_16_1-6_S,1817.63,1.8103533069725075
NO_16_1-6_S,1818.63,1.811206186693948
NO_16_1-6_S,1819.63,1.8120513434139853
NO_16_1-6_S,1820.63,1.8128744689018268
NO_16_1-6_S,1821.63,1.8137088656999953
NO_16_1-6_S,1822.63,1.8145285580555226
NO_16_1-6_S,1823.63,1.8153607309141464
NO_16_1-6_S,1824.63,1.8161668893576197
NO_16_1-6_S,1825.63,1.816995405633825
NO_16_1-6_S,1826.63,1.81782228876767
NO_16_1-6_S,1827.63,1.8186189731356848
NO_16_1-6_S,1828.63,1.8193726717210943
NO_16_1-6_S,1829.63,1.8201073110557449
NO_16_1-6_S,1830.63,1.8208391220251587
NO_16_1-6_S,1831.63,1.8216285911132077
NO_16_1-6_S,1832.63,1.8224197769751462
NO_16_1-6_S,1833.63,1.8232439806456506
NO_16_1-6_S,1834.63,1.8241016367216951
NO_16_1-6_S,1835.63,1.824928307044945
NO_16_1-6_S,1836.63,1.825769153177255
NO_16_1-6_S,1837.63,1.8266096597007124
NO_16_1-6_S,1838.63,1.8274447063527004
NO_16_1-6_S,1839.63,1.8282744975599765
NO_16_1-6_S,1840.63,1.829102716438779
NO_16_1-6_S,1841.63,1.8299460136794607
NO_16_1-6_S,1842.63,1.8308072803126634
NO_16_1-6_S,1843.63,1.831649479790551
NO_16_1-6_S,1844.63,1.8324891894316757
NO_16_1-6_S,1845.63,1.8332762614089129
NO_16_1-6_S,1846.63,1.8339415559201786
NO_16_1-6_S,1847.63,1.8346487299690661
NO_16_1-6_S,1848.63,1.8354038919942264
NO_16_1-6_S,1849.63,1.836177674553386
NO_16_1-6_S,1850.63,1.8369916422823591
NO_16_1-6_S,1851.63,1.837828508152997
NO_16_1-6_S,1852.63,1.838657784730387
NO_16_1-6_S,1853.63,1.839372218663077
NO_16_1-6_S,1854.63,1.8401018411286554
NO_16_1-6_S,1855.63,1.8408330281534449
NO_16_1-6_S,1856.63,1.8415421488146653
NO_16_1-6_S,1857.63,1.8421304270700922
NO_16_1-6_S,1858.63,1.8426934273584685
NO_16_1-6_S,1859.63,1.8432740630389375
NO_16_1-6_S,1860.63,1.843857013409957
NO_16_1-6_S,1861.63,1.8443198677154895
NO_16_1-6_S,1862.63,1.8447561493711462
NO_16_1-6_S,1863.63,1.845153757714446
NO_16_1-6_S,1864.63,1.8455441332063776
NO_16_1-6_S,1865.63,1.8459178365302429
NO_16_1-6_S,1866.63,1.8462883794448495
NO_16_1-6_S,1867.63,1.84667168018511
NO_16_1-6_S,1868.63,1.8470555092756975
NO_16_1-6_S,1869.63,1.84742742041299
NO_16_1-6_S,1870.63,1.8478051518060765
NO_16_1-6_S,1871.63,1.8481918056391125
NO_16_1-6_S,1872.63,1.8485766615355024
NO_16_1-6_S,1873.63,1.8489616662604627
NO_16_1-6_S,1874.63,1.8493475461830087
NO_16_1-6_S,1875.63,1.8497334261055547
NO_16_1-6_S,1876.63,1.85011971745406
NO_16_1-6_S,1877.63,1.8505047674662516
NO_16_1-6_S,1877.95,1.8506282490414663
