unique_wellbore_identifier;md;tvd;tvd_ss;time;calc_tvd;calc_tvd_ss;source_file
NO 10/4-1;541.8;541.73;510.73;599.24;541.73;541.73;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;556.92;556.85;525.85;614.05;556.85;556.85;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;661.14;661.05;630.06;695.84;661.05;661.05;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;676.26;676.16;645.17;707.93;676.16;676.16;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;691.38;691.28;660.29;719.96;691.28;691.28;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;706.5;706.4;675.41;731.89;706.4;706.4;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;721.79;721.69;690.69;742.94;721.69;721.69;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;736.91;736.81;705.81;753.5;736.81;736.81;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;752.03;751.93;720.93;764.7;751.93;751.93;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;767.15;767.05;736.05;775.1;767.05;767.05;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;782.27;782.17;751.17;785.43;782.17;782.17;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;797.39;797.29;766.29;795.22;797.29;797.29;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;812.51;812.41;781.41;805.28;812.41;812.41;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;827.63;827.53;796.53;814.25;827.53;827.53;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;842.82;842.72;811.72;823.49;842.72;842.72;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;857.94;857.84;826.84;832.73;857.84;857.84;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;873.06;872.96;841.96;842.24;872.96;872.96;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;888.18;888.08;857.08;851.2;888.08;888.08;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;902.97;902.87;871.87;860.13;902.87;902.87;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;918.09;917.99;886.99;869.12;917.99;917.99;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;933.21;933.11;902.11;878.35;933.11;933.11;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;948.33;948.23;917.23;887.3;948.23;948.23;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;963.79;963.69;932.69;897.27;963.69;963.69;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;978.91;978.81;947.81;906.03;978.81;978.81;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;994.03;993.93;962.93;915.02;993.93;993.93;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1024.04;1023.94;992.94;932.85;1023.94;1023.94;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1039.16;1039.06;1008.06;942.34;1039.06;1039.06;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1054.28;1054.18;1023.18;950.74;1054.18;1054.18;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1069.4;1069.3;1038.3;959.68;1069.3;1069.3;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1084.22;1084.12;1053.12;968.08;1084.12;1084.12;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1099.34;1099.24;1068.24;976.75;1099.24;1099.24;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1114.46;1114.36;1083.36;986.23;1114.36;1114.36;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1129.58;1129.48;1098.48;995.44;1129.48;1129.48;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1144.92;1144.82;1113.82;1004.38;1144.82;1144.82;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1160.04;1159.94;1128.94;1013.58;1159.94;1159.94;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1175.16;1175.06;1144.06;1021.98;1175.06;1175.06;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1190.28;1190.18;1159.18;1030.37;1190.18;1190.18;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1205.47;1205.37;1174.37;1038.5;1205.37;1205.37;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1220.59;1220.49;1189.49;1046.62;1220.49;1220.49;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1235.71;1235.61;1204.61;1055.28;1235.61;1235.61;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1250.83;1250.73;1219.73;1063.67;1250.73;1250.73;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1265.98;1265.88;1234.88;1071.52;1265.88;1265.88;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1281.1;1281.0;1250.0;1079.64;1281.0;1281.0;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1296.22;1296.12;1265.12;1087.22;1296.12;1296.12;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1311.34;1311.24;1280.24;1094.53;1311.24;1311.24;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1326.64;1326.54;1295.54;1102.38;1326.54;1326.54;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1341.76;1341.66;1310.66;1110.23;1341.66;1341.66;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1356.88;1356.78;1325.78;1118.08;1356.78;1356.78;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1372.0;1371.9;1340.9;1126.19;1371.9;1371.9;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1386.97;1386.87;1355.87;1134.31;1386.87;1386.87;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1402.09;1401.99;1370.99;1143.5;1401.99;1401.99;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1417.21;1417.11;1386.11;1153.24;1417.11;1417.11;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1432.33;1432.23;1401.23;1164.32;1432.23;1432.23;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1447.48;1447.38;1416.38;1175.93;1447.38;1447.38;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1462.6;1462.5;1431.5;1188.09;1462.5;1462.5;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1477.72;1477.62;1446.62;1199.47;1477.62;1477.62;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1492.84;1492.74;1461.74;1211.71;1492.74;1492.74;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1507.89;1507.79;1476.79;1223.52;1507.79;1507.79;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1523.01;1522.91;1491.91;1235.8;1522.91;1522.91;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1538.13;1538.03;1507.03;1247.85;1538.03;1538.03;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1553.25;1553.15;1522.15;1259.55;1553.15;1553.15;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1568.45;1568.35;1537.35;1271.07;1568.35;1568.35;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1583.57;1583.47;1552.47;1281.74;1583.47;1583.47;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1598.69;1598.59;1567.59;1292.89;1598.59;1598.59;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1613.81;1613.71;1582.71;1303.67;1613.71;1613.71;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1628.71;1628.61;1597.6;1314.65;1628.61;1628.61;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1643.83;1643.73;1612.72;1325.45;1643.73;1643.73;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1658.95;1658.85;1627.84;1335.75;1658.85;1658.85;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1674.07;1673.97;1642.96;1346.79;1673.97;1673.97;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1689.33;1689.23;1658.23;1357.23;1689.23;1689.23;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1704.45;1704.35;1673.35;1367.45;1704.35;1704.35;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1719.57;1719.47;1688.47;1377.15;1719.47;1719.47;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1734.69;1734.59;1703.59;1387.14;1734.59;1734.59;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1749.59;1749.49;1718.49;1397.33;1749.49;1749.49;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1764.71;1764.61;1733.61;1408.02;1764.61;1764.61;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1779.83;1779.73;1748.73;1418.39;1779.73;1779.73;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1794.95;1794.85;1763.85;1428.77;1794.85;1794.85;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1810.22;1810.12;1779.12;1438.72;1810.12;1810.12;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1825.34;1825.24;1794.24;1448.71;1825.24;1825.24;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1840.46;1840.36;1809.36;1458.55;1840.36;1840.36;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1855.58;1855.48;1824.48;1468.93;1855.48;1855.48;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1870.77;1870.67;1839.67;1479.14;1870.67;1870.67;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1885.89;1885.79;1854.79;1489.45;1885.79;1885.79;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1901.01;1900.91;1869.91;1499.69;1900.91;1900.91;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1916.13;1916.03;1885.03;1510.4;1916.03;1916.03;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1931.15;1931.05;1900.05;1521.07;1931.05;1931.05;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1946.27;1946.17;1915.17;1531.92;1946.17;1946.17;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1961.39;1961.29;1930.29;1542.48;1961.29;1961.29;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1976.51;1976.41;1945.41;1553.23;1976.41;1976.41;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;1991.86;1991.76;1960.76;1564.77;1991.76;1991.76;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2006.98;2006.88;1975.87;1575.56;2006.88;2006.88;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2022.1;2022.0;1990.99;1585.87;2022.0;2022.0;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2052.13;2052.03;2021.03;1607.78;2052.03;2052.03;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2067.25;2067.14;2036.15;1618.25;2067.14;2067.14;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2082.37;2082.26;2051.26;1628.21;2082.26;2082.26;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2097.49;2097.38;2066.38;1638.2;2097.38;2097.38;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2112.72;2112.61;2081.61;1647.68;2112.61;2112.61;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2127.84;2127.73;2096.73;1656.91;2127.73;2127.73;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2142.96;2142.85;2111.85;1666.6;2142.85;2142.85;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2158.08;2157.97;2126.97;1676.54;2157.97;2157.97;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2173.33;2173.22;2142.22;1686.83;2173.22;2173.22;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2188.45;2188.34;2157.34;1697.21;2188.34;2188.34;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2203.57;2203.45;2172.46;1707.54;2203.45;2203.45;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2218.69;2218.57;2187.58;1717.85;2218.57;2218.57;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2233.62;2233.5;2202.51;1728.76;2233.5;2233.5;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2248.74;2248.62;2217.63;1739.76;2248.62;2248.62;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2263.86;2263.74;2232.75;1750.76;2263.74;2263.74;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2278.98;2278.86;2247.86;1761.15;2278.86;2278.86;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;2294.44;2294.32;2263.32;1769.76;2294.32;2294.32;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
