unique_wellbore_identifier;md;tvd;tvd_ss;time;calc_tvd;calc_tvd_ss;source_file
NO 10/4-1;31.0;31.0;0.0;0.0;31.0;31.0;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;129.0;129.0;98.0;132.43;129.0;129.0;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;211.21;211.18;180.19;231.54;211.18;211.18;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;241.45;241.41;210.42;266.87;241.41;241.41;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;256.57;256.53;225.53;283.96;256.53;256.53;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;361.18;361.12;330.12;402.16;361.12;361.12;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;376.3;376.24;345.24;417.57;376.24;376.24;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;391.42;391.36;360.36;432.82;391.36;391.36;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;406.54;406.48;375.48;448.79;406.48;406.48;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
NO 10/4-1;526.68;526.61;495.61;583.74;526.61;526.61;G:\Sub_Appl_Data\WellDB\NO\wells\0010\NO 10-4-1\07.Borehole_Seismic\TZV_TIME_CHECKSHOT_2015-07-07_1.ASC
